	tool	gfa_id	msa	obj_function	penalization	min_len	len_graph	n_nodes	n_edges
0	pangeblocks	slpa-basis	mafft.op1.53-ep0	nodes	0	0	5216	3115	5141
1	pangeblocks	slpa-real	mafft.op1.53-ep0	nodes	0	0	5102	1201	1806
2	pangeblocks	slpa-simu	mafft.op1.53-ep0	nodes	0	0	5730	1981	3232
3	pangeblocks	coli27-86	mafft.op1.53-ep0	nodes	0	0	4238	2186	2986
4	pangeblocks	coli27-86	mafft.op1.53-ep0	strings	0	0	4235	2205	3015
5	pangeblocks	slpa-basis	mafft.op1.53-ep0	strings	0	0	5006	3406	5569
6	pangeblocks	slpa-real	mafft.op1.53-ep0	strings	0	0	4843	1949	3095
7	pangeblocks	slpa-simu	mafft.op1.53-ep0	strings	0	0	5368	2795	4617
8	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	5	10	5102	1201	1806
9	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	5	10	5735	1981	3233
10	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	5	10	4238	2186	2986
11	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	5	10	5210	3115	5143
12	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	5	3	4238	2186	2986
13	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	5	3	5236	3115	5145
14	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	5	3	5775	1983	3236
15	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	5	3	5111	1202	1808
16	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	7	10	4238	2186	2986
17	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	7	10	5210	3115	5143
18	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	7	10	5102	1201	1806
19	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	7	10	5735	1981	3233
20	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	7	5	4238	2186	2986
21	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	7	5	5211	3115	5143
22	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	7	5	5122	1203	1810
23	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	7	5	5761	1983	3236
24	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	3	10	5102	1201	1806
25	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	3	10	5210	3115	5143
26	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	3	10	5735	1981	3233
27	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	3	10	4238	2186	2986
28	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	3	3	4238	2186	2986
29	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	3	3	5236	3115	5145
30	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	3	3	5776	1983	3236
31	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	3	3	5111	1202	1808
32	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	5	5	5211	3115	5143
33	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	5	5	4238	2186	2986
34	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	5	5	5122	1203	1810
35	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	5	5	5761	1983	3236
36	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	7	3	5236	3115	5145
37	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	7	3	4238	2186	2986
38	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	7	3	5111	1202	1808
39	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	7	3	5775	1983	3236
40	pangeblocks	slpa-real	mafft.op1.53-ep0	weighted	3	5	5103	1201	1807
41	pangeblocks	slpa-simu	mafft.op1.53-ep0	weighted	3	5	5749	1981	3232
42	pangeblocks	slpa-basis	mafft.op1.53-ep0	weighted	3	5	5211	3115	5143
43	pangeblocks	coli27-86	mafft.op1.53-ep0	weighted	3	5	4238	2186	2986
44	pangeblocks	slpa-simu	mafft.op3-ep0	nodes	0	0	5462	2130	3478
45	pangeblocks	slpa-real	mafft.op3-ep0	nodes	0	0	4503	923	1310
46	pangeblocks	slpa-basis	mafft.op3-ep0	nodes	0	0	5718	2292	3652
47	pangeblocks	coli27-86	mafft.op3-ep0	nodes	0	0	4238	2186	2986
48	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	5	5	5718	2292	3652
49	pangeblocks	slpa-real	mafft.op3-ep0	weighted	5	5	4519	925	1313
50	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	5	5	5498	2133	3484
51	pangeblocks	coli27-86	mafft.op3-ep0	weighted	5	5	4238	2186	2986
52	pangeblocks	coli27-86	mafft.op3-ep0	weighted	7	3	4238	2186	2986
53	pangeblocks	slpa-real	mafft.op3-ep0	weighted	7	3	4514	924	1311
54	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	7	3	5519	2135	3488
55	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	7	3	5725	2292	3649
56	pangeblocks	coli27-86	mafft.op3-ep0	weighted	3	5	4238	2186	2986
57	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	3	5	5718	2292	3652
58	pangeblocks	slpa-real	mafft.op3-ep0	weighted	3	5	4519	925	1313
59	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	3	5	5481	2131	3480
60	pangeblocks	coli27-86	mafft.op3-ep0	weighted	5	3	4238	2186	2986
61	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	5	3	5519	2135	3488
62	pangeblocks	slpa-real	mafft.op3-ep0	weighted	5	3	4514	924	1311
63	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	5	3	5725	2292	3649
64	pangeblocks	coli27-86	mafft.op3-ep0	weighted	7	5	4238	2186	2986
65	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	7	5	5718	2292	3652
66	pangeblocks	slpa-real	mafft.op3-ep0	weighted	7	5	4519	925	1313
67	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	7	5	5498	2133	3484
68	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	7	10	5465	2130	3483
69	pangeblocks	slpa-real	mafft.op3-ep0	weighted	7	10	4503	923	1310
70	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	7	10	5710	2292	3653
71	pangeblocks	coli27-86	mafft.op3-ep0	weighted	7	10	4238	2186	2986
72	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	5	10	5710	2292	3653
73	pangeblocks	slpa-real	mafft.op3-ep0	weighted	5	10	4503	923	1310
74	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	5	10	5465	2130	3483
75	pangeblocks	coli27-86	mafft.op3-ep0	weighted	5	10	4238	2186	2986
76	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	3	10	5710	2292	3653
77	pangeblocks	coli27-86	mafft.op3-ep0	weighted	3	10	4238	2186	2986
78	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	3	10	5465	2130	3483
79	pangeblocks	slpa-real	mafft.op3-ep0	weighted	3	10	4503	923	1310
80	pangeblocks	slpa-basis	mafft.op3-ep0	weighted	3	3	5725	2292	3649
81	pangeblocks	coli27-86	mafft.op3-ep0	weighted	3	3	4238	2186	2986
82	pangeblocks	slpa-simu	mafft.op3-ep0	weighted	3	3	5519	2135	3486
83	pangeblocks	slpa-real	mafft.op3-ep0	weighted	3	3	4514	924	1311
84	pangeblocks	slpa-real	mafft.op3-ep0	strings	0	0	4353	1473	2217
85	pangeblocks	slpa-simu	mafft.op3-ep0	strings	0	0	5097	2582	4161
86	pangeblocks	slpa-basis	mafft.op3-ep0	strings	0	0	5238	3764	6273
87	pangeblocks	coli27-86	mafft.op3-ep0	strings	0	0	4235	2199	3005
88	pangeblocks	coli27-86	mafft.op5-ep0	strings	0	0	4235	2193	2997
89	pangeblocks	slpa-basis	mafft.op5-ep0	strings	0	0	5272	4027	6869
90	pangeblocks	slpa-real	mafft.op5-ep0	strings	0	0	4660	1462	2202
91	pangeblocks	slpa-simu	mafft.op5-ep0	strings	0	0	5303	2722	4430
92	pangeblocks	slpa-real	mafft.op5-ep0	weighted	3	5	4827	936	1329
93	pangeblocks	slpa-simu	mafft.op5-ep0	weighted	3	5	5668	2257	3709
94	pangeblocks	slpa-basis	mafft.op5-ep0	weighted	3	5	5501	3794	6544
