,tool,gfa_id,msa,obj_function,penalization,min_len,len_graph,n_nodes,n_edges,is_acyclic,weakly_connected_components
0,pangeblocks,B-3106,mafft.op1.53-ep0,weighted,3,3,4186,474,646,acyclic,1
1,pangeblocks,DOA-3111,mafft.op1.53-ep0,weighted,3,3,5469,116,154,acyclic,1
2,pangeblocks,C-3107,mafft.op1.53-ep0,weighted,3,3,3576,498,672,acyclic,1
3,pangeblocks,A-3105,mafft.op1.53-ep0,weighted,3,3,61069,1884,2557,acyclic,1
4,pangeblocks,DOB-3112,mafft.op1.53-ep0,weighted,3,3,4854,54,71,acyclic,1
5,pangeblocks,DPA1-3113,mafft.op1.53-ep0,weighted,3,3,16267,150,200,acyclic,1
6,pangeblocks,DRB3-3125,mafft.op1.53-ep0,weighted,3,3,13393,638,865,acyclic,1
7,pangeblocks,DQA1-3117,mafft.op1.53-ep0,weighted,3,3,19472,1833,2516,acyclic,1
8,pangeblocks,H-3136,mafft.op1.53-ep0,weighted,3,3,3422,235,315,acyclic,1
9,pangeblocks,TAP2-6891,mafft.op1.53-ep0,weighted,3,3,17062,263,359,acyclic,1
10,pangeblocks,E-3133,mafft.op1.53-ep0,weighted,3,3,4804,13,16,acyclic,1
11,pangeblocks,DQB1-3119,mafft.op1.53-ep0,weighted,3,3,9093,2818,3891,acyclic,1
12,pangeblocks,V-352962,mafft.op1.53-ep0,weighted,3,3,1098,54,74,acyclic,1
13,pangeblocks,MICA-100507436,mafft.op1.53-ep0,weighted,3,3,15801,453,611,acyclic,1
14,pangeblocks,DPB1-3115,mafft.op1.53-ep0,weighted,3,3,14091,877,1176,acyclic,1
15,pangeblocks,DMA-3108,mafft.op1.53-ep0,weighted,3,3,4520,29,38,acyclic,1
16,pangeblocks,TAP1-6890,mafft.op1.53-ep0,weighted,3,3,8774,32,42,acyclic,1
17,pangeblocks,L-3139,mafft.op1.53-ep0,weighted,3,3,7474,243,325,acyclic,1
18,pangeblocks,DRA-3122,mafft.op1.53-ep0,weighted,3,3,5269,178,239,acyclic,1
19,pangeblocks,F-3134,mafft.op1.53-ep0,weighted,3,3,16138,85,115,acyclic,1
20,pangeblocks,G-3135,mafft.op1.53-ep0,weighted,3,3,4211,165,220,acyclic,1
21,pangeblocks,MICB-4277,mafft.op1.53-ep0,weighted,3,3,17130,644,880,acyclic,1
22,pangeblocks,J-3137,mafft.op1.53-ep0,weighted,3,3,4020,106,142,acyclic,1
23,pangeblocks,DRB1-3123,mafft.op1.53-ep0,weighted,3,3,24603,4332,6011,acyclic,1
24,pangeblocks,K-3138,mafft.op1.53-ep0,weighted,3,3,3308,324,440,acyclic,1
25,pangeblocks,DMB-3109,mafft.op1.53-ep0,weighted,3,3,6567,70,93,acyclic,1
26,pangeblocks,DRB4-3126,mafft.op1.53-ep0,weighted,3,3,15081,250,333,acyclic,1
27,pangeblocks,DMA-3108,mafft.op1.53-ep0,weighted,5,3,4520,29,38,acyclic,1
28,pangeblocks,DQB1-3119,mafft.op1.53-ep0,weighted,5,3,9103,2819,3893,acyclic,1
29,pangeblocks,V-352962,mafft.op1.53-ep0,weighted,5,3,1098,54,74,acyclic,1
30,pangeblocks,TAP2-6891,mafft.op1.53-ep0,weighted,5,3,17062,263,359,acyclic,1
31,pangeblocks,DRB3-3125,mafft.op1.53-ep0,weighted,5,3,13393,638,865,acyclic,1
32,pangeblocks,DQA1-3117,mafft.op1.53-ep0,weighted,5,3,19472,1833,2516,acyclic,1
33,pangeblocks,L-3139,mafft.op1.53-ep0,weighted,5,3,7474,243,325,acyclic,1
34,pangeblocks,DPA1-3113,mafft.op1.53-ep0,weighted,5,3,16267,150,200,acyclic,1
35,pangeblocks,J-3137,mafft.op1.53-ep0,weighted,5,3,4020,106,142,acyclic,1
36,pangeblocks,K-3138,mafft.op1.53-ep0,weighted,5,3,3308,324,440,acyclic,1
