,tool,gfa_id,msa,obj_function,penalization,min_len,len_graph,n_nodes,n_edges,is_acyclic,weakly_connected_components,len_shared_nodes,perc_len_shared_nodes
0,pangeblocks,coli27-86,mafft.op1.53-ep0,weighted,3,5,4300,2238.0,3074,acyclic,1.0,2581,60.02
1,pangeblocks,slpa-simu,mafft.op1.53-ep0,weighted,3,5,8647,6113.0,10994,acyclic,1.0,274,3.17
2,pangeblocks,slpa-real,mafft.op1.53-ep0,weighted,3,5,8477,4559.0,8144,acyclic,1.0,547,6.45
3,pangeblocks,slpa-basis,mafft.op1.53-ep0,weighted,3,5,5831,4560.0,7663,acyclic,1.0,554,9.5
4,pangeblocks,slpa-simu,mafft.op1.53-ep0,weighted,7,3,8818,6133.0,11021,acyclic,1.0,274,3.11
5,pangeblocks,slpa-real,mafft.op1.53-ep0,weighted,7,3,8634,4579.0,8188,acyclic,1.0,547,6.34
6,pangeblocks,slpa-basis,mafft.op1.53-ep0,weighted,7,3,5888,4564.0,7676,acyclic,1.0,554,9.41
7,pangeblocks,coli27-86,mafft.op1.53-ep0,weighted,7,3,4299,2238.0,3074,acyclic,1.0,2581,60.04
8,pangeblocks,slpa-real,mafft.op1.53-ep0,weighted,5,5,8532,4564.0,8153,acyclic,1.0,547,6.41
9,pangeblocks,slpa-simu,mafft.op1.53-ep0,weighted,5,5,8647,6115.0,10998,acyclic,1.0,274,3.17
10,pangeblocks,coli27-86,mafft.op1.53-ep0,weighted,5,5,4300,2238.0,3074,acyclic,1.0,2581,60.02
11,pangeblocks,slpa-basis,mafft.op1.53-ep0,weighted,5,5,5831,4560.0,7663,acyclic,1.0,554,9.5
12,pangeblocks,slpa-real,mafft.op1.53-ep0,weighted,5,10,8283,4547.0,8144,acyclic,1.0,547,6.6
13,pangeblocks,slpa-simu,mafft.op1.53-ep0,weighted,5,10,8466,6100.0,10974,acyclic,1.0,274,3.24
14,pangeblocks,slpa-basis,mafft.op1.53-ep0,weighted,5,10,5824,4560.0,7664,acyclic,1.0,554,9.51
15,pangeblocks,coli27-86,mafft.op1.53-ep0,weighted,5,10,4296,2238.0,3074,acyclic,1.0,2581,60.08
