path_gfa	n_nodes	n_edges	len_graph	is_acyclic	weakly_connected_components	len_shared_nodes	perc_len_shared_nodes
HLA-zoo-pggb/A-3105/A-3105.fa.gz.acf6c7c.417fcdf.67d1f12.smooth.final.gfa	1545	2080	59632	acyclic	1	3127	5.243828816742688
HLA-zoo-pggb/B-3106/B-3106.fa.gz.9769608.417fcdf.ee93b41.smooth.final.gfa	477	650	4209	acyclic	1	3133	74.43573295319553
HLA-zoo-pggb/C-3107/C-3107.fa.gz.b549ba7.417fcdf.25ac974.smooth.final.gfa	503	677	3564	acyclic	1	3205	89.9270482603816
HLA-zoo-pggb/DMA-3108/DMA-3108.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa	29	38	4520	acyclic	1	4499	99.5353982300885
HLA-zoo-pggb/DMB-3109/DMB-3109.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa	65	87	6563	acyclic	1	6416	97.76017065366447
HLA-zoo-pggb/DOA-3111/DOA-3111.fa.gz.b549ba7.417fcdf.25ac974.smooth.final.gfa	116	154	5469	acyclic	1	5393	98.61034924117754
HLA-zoo-pggb/DOB-3112/DOB-3112.fa.gz.9769608.417fcdf.ee93b41.smooth.final.gfa	51	66	5442	acyclic	1	3109	57.12973171628077
HLA-zoo-pggb/DPA1-3113/DPA1-3113.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa	150	200	16267	acyclic	1	16140	99.2192782934776
HLA-zoo-pggb/DPB1-3115/DPB1-3115.fa.gz.acf6c7c.417fcdf.67d1f12.smooth.final.gfa	878	1177	14089	acyclic	1	13383	94.98899850947548
HLA-zoo-pggb/DQA1-3117/DQA1-3117.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa	1905	2601	19170	acyclic	1	4462	23.275952008346373
HLA-zoo-pggb/DQB1-3119/DQB1-3119.fa.gz.b549ba7.417fcdf.25ac974.smooth.final.gfa	2812	3864	9471	acyclic	1	5660	59.76137683454756
HLA-zoo-pggb/DRA-3122/DRA-3122.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa	178	239	5269	acyclic	1	5112	97.02030745872082
HLA-zoo-pggb/DRB1-3123/DRB1-3123.fa.gz.acf6c7c.417fcdf.67d1f12.smooth.final.gfa	4773	6523	23441	acyclic	1	6614	28.215519815707523
HLA-zoo-pggb/DRB3-3125/DRB3-3125.fa.gz.e2214d5.417fcdf.cabe848.smooth.final.gfa	617	825	13323	acyclic	1	12818	96.20956241086841
HLA-zoo-pggb/DRB4-3126/DRB4-3126.fa.gz.94de0dc.417fcdf.86901cc.smooth.final.gfa	248	331	15080	acyclic	1	4829	32.02254641909814
HLA-zoo-pggb/DRB5-3127/DRB5-3127.fa.gz.2be9bd8.417fcdf.1817bda.smooth.final.gfa	1	0	12856	acyclic	1	12856	100.0
HLA-zoo-pggb/E-3133/E-3133.fa.gz.b549ba7.417fcdf.25ac974.smooth.final.gfa	13	16	4804	acyclic	1	4796	99.83347210657784
HLA-zoo-pggb/F-3134/F-3134.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa	87	117	16126	acyclic	1	2186	13.555748480714374
HLA-zoo-pggb/G-3135/G-3135.fa.gz.acf6c7c.417fcdf.67d1f12.smooth.final.gfa	165	220	4211	acyclic	1	4090	97.1265732605082
HLA-zoo-pggb/H-3136/H-3136.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa	233	313	3419	acyclic	1	3227	94.38432290143317
HLA-zoo-pggb/J-3137/J-3137.fa.gz.8ffb64a.417fcdf.1e4a7df.smooth.final.gfa	106	142	4020	acyclic	1	3936	97.91044776119404
HLA-zoo-pggb/K-3138/K-3138.fa.gz.b549ba7.417fcdf.25ac974.smooth.final.gfa	326	443	3300	acyclic	1	3072	93.0909090909091
HLA-zoo-pggb/L-3139/L-3139.fa.gz.9769608.417fcdf.ee93b41.smooth.final.gfa	243	326	7472	acyclic	1	7230	96.76124197002142
HLA-zoo-pggb/MICA-100507436/MICA-100507436.fa.gz.9769608.417fcdf.ee93b41.smooth.final.gfa	452	611	15797	acyclic	1	11611	73.50129771475596
