,tool,gfa_id,msa,obj_function,penalization,min_len,len_graph,n_nodes,n_edges
0,pggb,DRB1-3123,wfmash,pggb,0,0,21355,5002,6850
1,pangeblocks,DRB1-3123,mafft.op1.53-ep0,weighted,7,3,27282,10482,14548
2,pangeblocks,DRB1-3123,mafft.op1.53-ep0,weighted,5,5,27282,10482,14548
3,PanPA,DRB5-3127,mafft.op1.53-ep0,strings,0,0,12856,1,0
4,PanPA,DRB5-3127,mafft.op3-ep0,strings,0,0,12856,1,0
5,PanPA,DRB5-3127,mafft.op5-ep0,strings,0,0,12856,1,0
6,pggb,C-3107,wfmash,pggb,0,0,3566,506,681
7,PanPA,C-3107,mafft.op1.53-ep0,strings,0,0,5440,2559,3488
8,pangeblocks,C-3107,mafft.op1.53-ep0,weighted,7,3,5481,2401,3264
9,PanPA,E-3133,mafft.op1.53-ep0,strings,0,0,4804,13,16
10,PanPA,E-3133,mafft.op3-ep0,strings,0,0,4804,13,16
11,PanPA,E-3133,mafft.op5-ep0,strings,0,0,4804,13,16
12,pggb,DPA1-3113,wfmash,pggb,0,0,16269,153,204
13,pangeblocks,DPA1-3113,mafft.op1.53-ep0,weighted,7,3,25580,10343,13886
14,pangeblocks,DPA1-3113,mafft.op1.53-ep0,weighted,5,5,25580,10343,13886
15,pggb,DOA-3111,wfmash,pggb,0,0,5471,119,158
16,pangeblocks,DOA-3111,mafft.op1.53-ep0,weighted,7,3,8672,3357,4511
17,pangeblocks,DOA-3111,mafft.op1.53-ep0,weighted,5,5,8672,3357,4511
18,pggb,TAP2-6891,wfmash,pggb,0,0,17109,272,371
19,pangeblocks,TAP2-6891,mafft.op1.53-ep0,weighted,7,3,26981,10853,14574
20,pangeblocks,TAP2-6891,mafft.op1.53-ep0,weighted,5,5,26981,10853,14574
21,pangeblocks,MICA-100507436,mafft.op1.53-ep0,weighted,7,3,15780,397,534
22,pangeblocks,MICA-100507436,mafft.op1.53-ep0,weighted,5,5,15780,397,534
23,pangeblocks,MICA-100507436,mafft.op1.53-ep0,weighted,3,5,15780,397,534
24,pggb,H-3136,wfmash,pggb,0,0,3421,232,311
25,PanPA,H-3136,mafft.op1.53-ep0,strings,0,0,3422,235,315
26,PanPA,H-3136,mafft.op3-ep0,strings,0,0,3422,235,315
27,PanPA,G-3135,mafft.op1.53-ep0,strings,0,0,4211,165,220
28,PanPA,G-3135,mafft.op3-ep0,strings,0,0,4211,165,220
29,PanPA,G-3135,mafft.op5-ep0,strings,0,0,4211,165,220
30,pggb,DQB1-3119,wfmash,pggb,0,0,8876,2864,3933
31,PanPA,DQB1-3119,mafft.op1.53-ep0,strings,0,0,13160,6938,9691
32,pangeblocks,DQB1-3119,mafft.op1.53-ep0,weighted,7,3,13441,5951,8268
33,pggb,DMA-3108,wfmash,pggb,0,0,4522,31,40
34,PanPA,DMA-3108,mafft.op1.53-ep0,strings,0,0,7156,2781,3733
35,pangeblocks,DMA-3108,mafft.op1.53-ep0,weighted,7,3,7157,2778,3729
36,pggb,F-3134,wfmash,pggb,0,0,16126,87,117
37,PanPA,F-3134,mafft.op1.53-ep0,strings,0,0,16127,87,117
38,PanPA,F-3134,mafft.op3-ep0,strings,0,0,16127,87,117
39,PanPA,K-3138,mafft.op1.53-ep0,strings,0,0,3299,324,440
40,PanPA,K-3138,mafft.op3-ep0,strings,0,0,3299,326,442
41,pangeblocks,K-3138,mafft.op1.53-ep0,weighted,7,3,3300,320,433
42,makeprg,A-3105,mafft.op1.53-ep0,makeprg,0,0,7185,579,833
43,makeprg,A-3105,mafft.op3-ep0,makeprg,0,0,7205,577,830
44,makeprg,A-3105,mafft.op5-ep0,makeprg,0,0,7235,573,825
45,PanPA,L-3139,mafft.op1.53-ep0,strings,0,0,7473,242,324
46,PanPA,L-3139,mafft.op3-ep0,strings,0,0,7473,242,324
47,PanPA,L-3139,mafft.op5-ep0,strings,0,0,7473,242,324
48,PanPA,J-3137,mafft.op1.53-ep0,strings,0,0,4020,106,142
49,PanPA,J-3137,mafft.op3-ep0,strings,0,0,4020,106,142
50,pggb,J-3137,wfmash,pggb,0,0,4020,106,142
51,pggb,DPB1-3115,wfmash,pggb,0,0,14088,879,1179
52,PanPA,DPB1-3115,mafft.op1.53-ep0,strings,0,0,14089,877,1176
53,PanPA,DPB1-3115,mafft.op3-ep0,strings,0,0,14089,877,1176
