	tool	gfa_id	msa	obj_function	penalization	min_len	len_graph	n_nodes	n_edges	is_acyclic	weakly_connected_components	len_shared_nodes	perc_len_shared_nodes
0	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	3	3	4186	474	646	acyclic	1	3162	75.54
1	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	3	3	5469	116	154	acyclic	1	5393	98.61
2	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	3	3	3576	498	672	acyclic	1	3205	89.63
3	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	3	3	61069	1884	2557	acyclic	1	2987	4.89
4	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	3	3	4854	54	71	acyclic	1	3695	76.12
5	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	3	3	16267	150	200	acyclic	1	16140	99.22
6	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	3	3	13393	638	865	acyclic	1	12816	95.69
7	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	3	3	19472	1833	2516	acyclic	1	4553	23.38
8	pangeblocks	H-3136	mafft.op1.53-ep0	weighted	3	3	3422	235	315	acyclic	1	3224	94.21
9	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	3	3	17062	263	359	acyclic	1	16657	97.63
10	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	3	3	4804	13	16	acyclic	1	4796	99.83
11	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	3	3	9093	2818	3891	acyclic	1	6118	67.28
12	pangeblocks	V-352962	mafft.op1.53-ep0	weighted	3	3	1098	54	74	acyclic	1	959	87.34
13	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	3	3	15801	453	611	acyclic	1	11611	73.48
14	pangeblocks	DPB1-3115	mafft.op1.53-ep0	weighted	3	3	14091	877	1176	acyclic	1	13383	94.98
15	pangeblocks	DMA-3108	mafft.op1.53-ep0	weighted	3	3	4520	29	38	acyclic	1	4499	99.54
16	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	3	3	8774	32	42	acyclic	1	8752	99.75
17	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	3	3	7474	243	325	acyclic	1	7229	96.72
18	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	3	3	5269	178	239	acyclic	1	5112	97.02
19	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	3	3	16138	85	115	acyclic	1	2186	13.55
20	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	3	3	4211	165	220	acyclic	1	4090	97.13
21	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	3	3	17130	644	880	acyclic	1	5506	32.14
22	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	3	3	4020	106	142	acyclic	1	3936	97.91
23	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	3	3	24603	4332	6011	acyclic	1	8189	33.28
24	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	3	3	3308	324	440	acyclic	1	3070	92.81
25	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	3	3	6567	70	93	acyclic	1	6412	97.64
26	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	3	3	15081	250	333	acyclic	1	4829	32.02
27	pangeblocks	DMA-3108	mafft.op1.53-ep0	weighted	5	3	4520	29	38	acyclic	1	4499	99.54
28	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	5	3	9103	2819	3893	acyclic	1	6118	67.21
29	pangeblocks	V-352962	mafft.op1.53-ep0	weighted	5	3	1098	54	74	acyclic	1	959	87.34
30	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	5	3	17062	263	359	acyclic	1	16657	97.63
31	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	5	3	13393	638	865	acyclic	1	12816	95.69
32	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	5	3	19472	1833	2516	acyclic	1	4553	23.38
33	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	5	3	7474	243	325	acyclic	1	7229	96.72
34	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	5	3	16267	150	200	acyclic	1	16140	99.22
35	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	5	3	4020	106	142	acyclic	1	3936	97.91
36	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	5	3	3308	324	440	acyclic	1	3070	92.81
37	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	5	3	4211	165	220	acyclic	1	4090	97.13
38	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	5	3	16138	85	115	acyclic	1	2186	13.55
39	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	5	3	5469	116	154	acyclic	1	5393	98.61
40	pangeblocks	DPB1-3115	mafft.op1.53-ep0	weighted	5	3	14091	877	1176	acyclic	1	13383	94.98
41	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	5	3	4854	54	71	acyclic	1	3695	76.12
42	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	5	3	8774	32	42	acyclic	1	8752	99.75
43	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	5	3	61069	1884	2557	acyclic	1	2987	4.89
44	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	5	3	3576	498	672	acyclic	1	3205	89.63
45	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	5	3	4186	474	646	acyclic	1	3162	75.54
46	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	5	3	4804	13	16	acyclic	1	4796	99.83
47	pangeblocks	H-3136	mafft.op1.53-ep0	weighted	5	3	3422	235	315	acyclic	1	3224	94.21
48	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	5	3	6567	70	93	acyclic	1	6412	97.64
49	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	5	3	24603	4332	6011	acyclic	1	8189	33.28
50	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	5	3	15801	453	611	acyclic	1	11611	73.48
51	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	5	3	17130	644	880	acyclic	1	5506	32.14
52	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	5	3	5269	178	239	acyclic	1	5112	97.02
53	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	5	3	15081	250	333	acyclic	1	4829	32.02
54	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	7	5	3576	498	672	acyclic	1	3205	89.63
55	pangeblocks	DMA-3108	mafft.op1.53-ep0	weighted	7	5	4520	29	38	acyclic	1	4499	99.54
56	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	7	5	4184	474	646	acyclic	1	3162	75.57
57	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	7	5	61069	1884	2557	acyclic	1	2987	4.89
58	pangeblocks	H-3136	mafft.op1.53-ep0	weighted	7	5	3422	235	315	acyclic	1	3224	94.21
59	pangeblocks	DPB1-3115	mafft.op1.53-ep0	weighted	7	5	14091	877	1176	acyclic	1	13383	94.98
60	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	7	5	4804	13	16	acyclic	1	4796	99.83
61	pangeblocks	V-352962	mafft.op1.53-ep0	weighted	7	5	1098	54	74	acyclic	1	959	87.34
62	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	7	5	19473	1833	2516	acyclic	1	4553	23.38
63	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	7	5	13393	638	865	acyclic	1	12816	95.69
64	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	7	5	4854	54	71	acyclic	1	3695	76.12
65	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	7	5	16267	150	200	acyclic	1	16140	99.22
66	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	7	5	9095	2819	3893	acyclic	1	6118	67.27
67	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	7	5	17061	263	359	acyclic	1	16657	97.63
68	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	7	5	5469	116	154	acyclic	1	5393	98.61
69	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	7	5	17130	644	880	acyclic	1	5506	32.14
70	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	7	5	24599	4331	6010	acyclic	1	8189	33.29
71	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	7	5	15081	250	333	acyclic	1	4829	32.02
72	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	7	5	6567	70	93	acyclic	1	6412	97.64
73	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	7	5	7474	243	325	acyclic	1	7229	96.72
74	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	7	5	5269	178	239	acyclic	1	5112	97.02
75	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	7	5	4211	165	220	acyclic	1	4090	97.13
76	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	7	5	16138	85	115	acyclic	1	2186	13.55
77	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	7	5	8774	32	42	acyclic	1	8752	99.75
78	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	7	5	15801	453	611	acyclic	1	11611	73.48
79	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	7	5	4020	106	142	acyclic	1	3936	97.91
80	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	7	5	3306	324	440	acyclic	1	3070	92.86
81	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	3	10	4854	54	71	acyclic	1	3695	76.12
82	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	3	10	8774	32	42	acyclic	1	8752	99.75
83	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	3	10	5469	116	154	acyclic	1	5393	98.61
84	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	3	10	4184	474	646	acyclic	1	3162	75.57
85	pangeblocks	DMA-3108	mafft.op1.53-ep0	weighted	3	10	4520	29	38	acyclic	1	4499	99.54
86	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	3	10	3576	498	672	acyclic	1	3205	89.63
87	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	3	10	61069	1884	2557	acyclic	1	2987	4.89
88	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	3	10	15081	250	333	acyclic	1	4829	32.02
89	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	3	10	24601	4331	6010	acyclic	1	8189	33.29
90	pangeblocks	H-3136	mafft.op1.53-ep0	weighted	3	10	3422	235	315	acyclic	1	3224	94.21
91	pangeblocks	V-352962	mafft.op1.53-ep0	weighted	3	10	1098	54	74	acyclic	1	959	87.34
92	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	3	10	4804	13	16	acyclic	1	4796	99.83
93	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	3	10	17130	644	880	acyclic	1	5506	32.14
94	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	3	10	17061	263	359	acyclic	1	16657	97.63
95	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	3	10	16138	85	115	acyclic	1	2186	13.55
96	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	3	10	4211	165	220	acyclic	1	4090	97.13
97	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	3	10	9080	2818	3891	acyclic	1	6118	67.38
98	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	3	10	5269	178	239	acyclic	1	5112	97.02
99	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	3	10	16267	150	200	acyclic	1	16140	99.22
100	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	3	10	3306	324	440	acyclic	1	3070	92.86
101	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	3	10	4020	106	142	acyclic	1	3936	97.91
102	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	3	10	13393	638	865	acyclic	1	12816	95.69
103	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	3	10	19470	1833	2516	acyclic	1	4553	23.38
104	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	3	10	15801	453	611	acyclic	1	11611	73.48
105	pangeblocks	DPB1-3115	mafft.op1.53-ep0	weighted	3	10	14117	877	1176	acyclic	1	13383	94.8
106	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	3	10	7474	243	325	acyclic	1	7229	96.72
107	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	3	10	6567	70	93	acyclic	1	6412	97.64
108	pangeblocks	DPB1-3115	mafft.op1.53-ep0	weighted	5	10	14117	877	1176	acyclic	1	13383	94.8
109	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	5	10	3576	498	672	acyclic	1	3205	89.63
110	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	5	10	4184	474	646	acyclic	1	3162	75.57
111	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	5	10	61069	1884	2557	acyclic	1	2987	4.89
112	pangeblocks	H-3136	mafft.op1.53-ep0	weighted	5	10	3422	235	315	acyclic	1	3224	94.21
113	pangeblocks	DOB-3112	mafft.op1.53-ep0	weighted	5	10	4854	54	71	acyclic	1	3695	76.12
114	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	5	10	15801	453	611	acyclic	1	11611	73.48
115	pangeblocks	DOA-3111	mafft.op1.53-ep0	weighted	5	10	5469	116	154	acyclic	1	5393	98.61
116	pangeblocks	E-3133	mafft.op1.53-ep0	weighted	5	10	4804	13	16	acyclic	1	4796	99.83
117	pangeblocks	DPA1-3113	mafft.op1.53-ep0	weighted	5	10	16267	150	200	acyclic	1	16140	99.22
118	pangeblocks	DMA-3108	mafft.op1.53-ep0	weighted	5	10	4520	29	38	acyclic	1	4499	99.54
119	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	5	10	19470	1833	2516	acyclic	1	4553	23.38
120	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	5	10	13393	638	865	acyclic	1	12816	95.69
121	pangeblocks	TAP2-6891	mafft.op1.53-ep0	weighted	5	10	17061	263	359	acyclic	1	16657	97.63
122	pangeblocks	DQB1-3119	mafft.op1.53-ep0	weighted	5	10	9080	2818	3891	acyclic	1	6118	67.38
123	pangeblocks	V-352962	mafft.op1.53-ep0	weighted	5	10	1098	54	74	acyclic	1	959	87.34
124	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	5	10	5269	178	239	acyclic	1	5112	97.02
125	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	5	10	15081	250	333	acyclic	1	4829	32.02
126	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	5	10	7474	243	325	acyclic	1	7229	96.72
127	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	5	10	17130	644	880	acyclic	1	5506	32.14
128	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	5	10	24601	4331	6010	acyclic	1	8189	33.29
129	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	5	10	4211	165	220	acyclic	1	4090	97.13
130	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	5	10	16138	85	115	acyclic	1	2186	13.55
131	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	5	10	4020	106	142	acyclic	1	3936	97.91
132	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	5	10	3306	324	440	acyclic	1	3070	92.86
133	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	5	10	6567	70	93	acyclic	1	6412	97.64
134	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	5	10	8774	32	42	acyclic	1	8752	99.75
135	pangeblocks	DRA-3122	mafft.op1.53-ep0	weighted	7	10	5269	178	239	acyclic	1	5112	97.02
136	pangeblocks	TAP1-6890	mafft.op1.53-ep0	weighted	7	10	8774	32	42	acyclic	1	8752	99.75
137	pangeblocks	L-3139	mafft.op1.53-ep0	weighted	7	10	7474	243	325	acyclic	1	7229	96.72
138	pangeblocks	G-3135	mafft.op1.53-ep0	weighted	7	10	4211	165	220	acyclic	1	4090	97.13
139	pangeblocks	MICB-4277	mafft.op1.53-ep0	weighted	7	10	17130	644	880	acyclic	1	5506	32.14
140	pangeblocks	F-3134	mafft.op1.53-ep0	weighted	7	10	16138	85	115	acyclic	1	2186	13.55
141	pangeblocks	K-3138	mafft.op1.53-ep0	weighted	7	10	3306	324	440	acyclic	1	3070	92.86
142	pangeblocks	J-3137	mafft.op1.53-ep0	weighted	7	10	4020	106	142	acyclic	1	3936	97.91
143	pangeblocks	DRB1-3123	mafft.op1.53-ep0	weighted	7	10	24601	4331	6010	acyclic	1	8189	33.29
144	pangeblocks	MICA-100507436	mafft.op1.53-ep0	weighted	7	10	15801	453	611	acyclic	1	11611	73.48
145	pangeblocks	DRB4-3126	mafft.op1.53-ep0	weighted	7	10	15081	250	333	acyclic	1	4829	32.02
146	pangeblocks	DMB-3109	mafft.op1.53-ep0	weighted	7	10	6567	70	93	acyclic	1	6412	97.64
147	pangeblocks	C-3107	mafft.op1.53-ep0	weighted	7	10	3576	498	672	acyclic	1	3205	89.63
148	pangeblocks	B-3106	mafft.op1.53-ep0	weighted	7	10	4184	474	646	acyclic	1	3162	75.57
149	pangeblocks	A-3105	mafft.op1.53-ep0	weighted	7	10	61069	1884	2557	acyclic	1	2987	4.89
150	pangeblocks	DQA1-3117	mafft.op1.53-ep0	weighted	7	10	19470	1833	2516	acyclic	1	4553	23.38
151	pangeblocks	DRB3-3125	mafft.op1.53-ep0	weighted	7	10	13393	638	865	acyclic	1	12816	95.69
